0.001,100,0.1043916796,0.0119629672,0.0086335956
0.005,100,0.4322572671,0.0456257672,0.0298146939
0.01,100,0.6951206935,0.0686236381,0.0389370061
0.05,100,1.0899691831,0.1124331714,0.0184002801
0.1,100,1.0964316879,0.1250055377,0.0058449829
0.5,100,1.0964608114,0.1294390291,0.0014114925
1,100,1.0964608114,0.129439076,0.0014114455
5,100,-1.1862189850064842e+71,-4.4227349697301735e+86,-4.422734969730174e+86
10,100,-3.690646355494768e+103,-3.39934097889057e+119,-3.39934097889057e+119
0.5,1000,1.0964608114,0.129439076,0.0014114455
